"","Parameter1","Parameter2","rho","CI_low","CI_high","S","p","Method","n_Obs"
"1","logBET DT","logBET RT",0.347349621953156,0.0111536774465786,0.612991129046007,5071.09343742398,1,"Spearman",36
"2","logBET DT","logpercieved1 saltiness0.056M",-0.191793104805411,-0.497117760877609,0.155795156738222,9260.23242433804,1,"Spearman",36
"3","logBET DT","logpercieved1saltness0.56M",0.0174458448003879,-0.321953336598312,0.352871633935101,7634.44578590099,1,"Spearman",36
"4","logBET DT","flowrate_meanUS",0.227165559336364,-0.11949990918656,0.524459214133351,6004.92360395645,1,"Spearman",36
"5","logBET DT","flowrate_meanSS",0.293991337362602,-0.0483051600052623,0.574491968004076,5485.68730869259,1,"Spearman",36
"6","logBET DT","sodiumconc_meanUS",0.349606470029505,0.0137220752274065,0.614592154870696,5053.55772787074,1,"Spearman",36
"7","logBET DT","sodiumconc_meanSS",0.29749852025671,-0.0444700879905951,0.57706116741414,5458.43649760536,1,"Spearman",36
"8","logBET DT","proteinconc_meanUS",0.0112399702871894,-0.3275059423964,0.34742551064995,7682.66543086854,1,"Spearman",36
"9","logBET DT","proteinconc_meanSS",-0.116436312487982,-0.43677556241942,0.23010998152219,8674.71014803162,1,"Spearman",36
"10","logBET DT","dailysodiumIntake",-0.135297834497784,-0.452154394311384,0.211880896806326,8821.26417404778,1,"Spearman",36
"11","logBET DT","dailycalorieintake",-0.082145113802226,-0.408328028915114,0.262639893238463,8408.2675342433,1,"Spearman",36
"12","logBET DT","sodiumintakePerKca",-0.2191407010495,-0.518309637843925,0.127816190217359,9472.72324715461,1,"Spearman",36
"13","logBET DT","sodiumintake ffq",-0.394009234246925,-0.645653998149206,-0.0651723055452944,10831.4517500986,1,"Spearman",36
"14","logBET DT","saltadditionduringcooking",0.066571705214932,-0.277159064946056,0.395195880659176,7252.73785047998,1,"Spearman",36
"15","logBET DT","saltadditionduringeating",-0.159392120137248,-0.471529510799096,0.18823771211859,9008.47677346642,1,"Spearman",36
"16","logBET DT","selfreported altintake",-0.0206366622669822,-0.355662997972451,0.319089286619827,7930.34686581445,1,"Spearman",36
"17","logBET RT","logpercieved1 saltiness0.056M",-0.0587092525788046,-0.388514510464678,0.284430119689934,8226.17089253731,1,"Spearman",36
